,site_id,visit_month,count_distinct_participants
0,1.0,2019-01-01,42.0
1,1.0,2019-10-01,51.0
2,1.0,2019-11-01,73.0
3,1.0,2019-12-01,54.0
4,1.0,2019-02-01,74.0
5,1.0,2019-03-01,61.0
6,1.0,2019-04-01,49.0
7,1.0,2019-05-01,57.0
8,1.0,2019-06-01,54.0
9,1.0,2019-08-01,63.0
10,1.0,2019-09-01,51.0
11,2.0,2019-01-01,39.0
12,2.0,2019-10-01,43.0
13,2.0,2019-11-01,44.0
14,2.0,2019-12-01,30.0
15,2.0,2019-02-01,40.0
16,2.0,2019-03-01,35.0
17,2.0,2019-04-01,27.0
18,2.0,2019-05-01,29.0
19,2.0,2019-06-01,29.0
20,2.0,2019-08-01,31.0
21,2.0,2019-09-01,27.0
22,3.0,2019-01-01,100.0
23,3.0,2019-10-01,49.0
24,3.0,2019-11-01,63.0
25,3.0,2019-12-01,37.0
26,3.0,2019-02-01,82.0
27,3.0,2019-03-01,74.0
28,3.0,2019-04-01,71.0
29,3.0,2019-05-01,89.0
30,3.0,2019-06-01,68.0
31,3.0,2019-08-01,69.0
32,3.0,2019-09-01,58.0
33,4.0,2019-01-01,78.0
34,4.0,2019-10-01,51.0
35,4.0,2019-11-01,43.0
36,4.0,2019-12-01,27.0
37,4.0,2019-02-01,34.0
38,4.0,2019-03-01,59.0
39,4.0,2019-04-01,52.0
40,4.0,2019-05-01,52.0
41,4.0,2019-06-01,48.0
42,4.0,2019-07-01,24.0
43,4.0,2019-08-01,53.0
44,4.0,2019-09-01,53.0
45,5.0,2019-01-01,1026.0
46,5.0,2019-10-01,1047.0
47,5.0,2019-11-01,1063.0
48,5.0,2019-12-01,843.0
49,5.0,2019-02-01,1004.0
50,5.0,2019-03-01,952.0
51,5.0,2019-04-01,835.0
52,5.0,2019-05-01,968.0
53,5.0,2029-05-01,1.0
54,5.0,2019-06-01,999.0
55,5.0,2018-07-01,24.0
56,5.0,2019-07-01,816.0
57,5.0,2019-08-01,1097.0
58,5.0,2019-09-01,962.0
59,6.0,2019-01-01,50.0
60,6.0,2019-10-01,14.0
61,6.0,2019-11-01,26.0
62,6.0,2019-12-01,7.0
63,6.0,2019-02-01,19.0
64,6.0,2019-03-01,39.0
65,6.0,2019-04-01,30.0
66,6.0,2019-05-01,31.0
67,6.0,2019-06-01,25.0
68,6.0,2019-07-01,7.0
69,6.0,2019-08-01,23.0
70,6.0,2019-09-01,27.0
71,7.0,2019-01-01,626.0
72,7.0,2019-10-01,444.0
73,7.0,2019-11-01,479.0
74,7.0,2019-12-01,662.0
75,7.0,2019-02-01,609.0
76,7.0,2019-03-01,449.0
77,7.0,2019-04-01,490.0
78,7.0,2019-05-01,404.0
79,7.0,2019-06-01,578.0
80,7.0,2019-07-01,358.0
81,7.0,2019-08-01,466.0
82,7.0,2019-09-01,646.0
83,8.0,2019-01-01,718.0
84,8.0,2019-10-01,454.0
85,8.0,2019-11-01,368.0
86,8.0,2019-12-01,218.0
87,8.0,2019-02-01,582.0
88,8.0,2019-03-01,514.0
89,8.0,2019-04-01,392.0
90,8.0,2019-05-01,345.0
91,8.0,2029-05-01,98.0
92,8.0,2019-06-01,647.0
93,8.0,2019-07-01,536.0
94,8.0,2019-08-01,362.0
95,8.0,2019-09-01,478.0
96,9.0,2019-01-01,6.0
97,9.0,2019-10-01,12.0
98,9.0,2019-11-01,5.0
99,9.0,2019-12-01,5.0
100,9.0,2019-03-01,18.0
101,9.0,2019-04-01,12.0
102,9.0,2019-05-01,6.0
103,9.0,2019-06-01,12.0
104,9.0,2019-08-01,7.0
105,9.0,2019-09-01,9.0
106,10.0,2019-01-01,1.0
107,10.0,2019-10-01,24.0
108,10.0,2019-11-01,14.0
109,10.0,2019-12-01,11.0
110,10.0,2019-02-01,7.0
111,10.0,2019-03-01,6.0
112,10.0,2019-04-01,12.0
113,10.0,2019-05-01,13.0
114,10.0,2019-06-01,14.0
115,10.0,2019-07-01,6.0
116,10.0,2019-08-01,17.0
117,10.0,2019-09-01,14.0
118,11.0,2019-01-01,23.0
119,11.0,2019-10-01,55.0
120,11.0,2019-11-01,26.0
121,11.0,2019-12-01,25.0
122,11.0,2019-02-01,13.0
123,11.0,2019-03-01,13.0
124,11.0,2019-04-01,12.0
125,11.0,2019-05-01,24.0
126,11.0,2019-06-01,23.0
127,11.0,2019-08-01,22.0
128,11.0,2019-09-01,37.0
129,12.0,2019-12-01,604.0
130,13.0,2019-12-01,292.0
131,17.0,2019-12-01,9.0
132,18.0,2019-12-01,20.0
133,22.0,2019-12-01,4.0
134,99.0,2019-01-01,1.0
135,99.0,2019-10-01,15.0
136,99.0,2019-12-01,1.0
137,99.0,2019-02-01,2.0
138,99.0,2019-03-01,2.0
139,99.0,2019-04-01,10.0
140,99.0,2019-05-01,8.0
141,99.0,2019-06-01,2.0
142,99.0,2019-08-01,61.0
143,99.0,2019-09-01,23.0
